doc_number,corpus_size,vocab_count
399,189748,23940
400,189903,23947
401,190557,23998
402,190685,23999
403,190815,23999
404,191820,24090
405,192402,24138
406,192655,24148
407,192967,24165
408,193192,24182
409,193455,24194
410,194507,24264
411,195058,24310
412,195263,24315
413,195391,24323
414,195773,24358
415,195981,24363
416,196226,24381
417,196349,24382
418,196647,24402
419,196961,24408
420,197208,24455
421,197744,24469
422,198064,24488
423,198481,24562
424,198941,24591
425,199098,24599
426,199737,24671
427,200108,24688
428,200256,24693
429,200398,24695
430,200649,24716
431,200877,24737
432,201375,24813
433,201697,24857
434,202874,24979
435,203060,24987
436,210445,25652
437,211047,25695
438,211446,25729
439,212078,25787
440,212546,25820
441,213044,25838
442,213414,25870
443,213846,25907
444,213996,25919
445,214388,25941
446,214542,25945
447,215948,26106
448,216700,26164
449,217545,26216
450,217998,26253
451,218182,26266
452,218934,26307
453,219162,26349
454,219318,26355
455,225280,26787
456,225540,26815
457,225777,26834
458,225924,26853
459,226081,26866
460,226233,26878
461,226857,26921
462,227316,26982
463,230392,27292
464,230614,27307
465,230895,27337
466,232329,27432
467,232705,27459
468,233146,27481
469,233419,27507
470,235194,27647
471,235427,27659
472,236381,27680
473,236684,27696
474,237026,27767
475,237693,27850
476,238202,27904
477,238579,27915
478,239131,27946
479,239268,27957
480,239529,27968
481,239961,27989
482,240175,28003
483,240388,28016
484,240529,28020
485,240676,28028
486,241506,28106
487,241777,28124
488,242419,28157
489,242703,28207
490,242818,28209
491,243785,28264
492,244133,28294
493,244402,28343
494,244580,28345
495,244972,28359
496,246122,28414
497,246520,28438
498,247024,28471
499,247504,28506
500,247890,28521
501,248096,28524
502,248437,28541
503,248724,28553
504,249190,28593
505,249412,28603
506,249891,28878
507,250143,28891
508,250545,28928
509,250739,28963
510,251313,29004
511,251923,29045
512,252470,29095
513,252812,29114
514,252935,29116
515,253460,29132
516,253676,29146
517,253874,29154
518,254332,29177
519,254704,29197
520,256065,29383
521,256379,29398
522,256806,29439
523,256979,29442
524,257143,29453
525,257257,29458
526,257417,29467
527,257801,29501
528,258546,29705
529,259090,29746
530,259445,29789
531,259559,29790
532,259820,29814
533,259937,29819
534,260144,29824
535,260506,29850
536,260745,29864
537,262089,30043
538,262243,30049
539,262897,30101
540,264254,30174
541,264442,30197
542,264606,30201
543,265021,30229
544,265329,30249
545,265511,30256
546,267014,30435
547,268125,30486
548,269837,30606
549,270068,30617
550,270251,30619
551,270520,30628
552,270757,30638
553,270987,30652
554,271535,30698
555,272094,30728
556,272208,30731
557,272774,30762
558,273785,30882
559,273982,30912
560,274908,31012
561,275115,31020
562,275309,31025
563,275561,31039
564,275735,31051
565,275860,31056
566,276143,31079
567,276395,31110
568,276514,31113
569,276656,31121
570,277138,31157
571,277284,31169
572,278386,31238
573,279268,31282
574,279419,31291
575,279672,31333
576,279831,31338
577,283192,31779
578,284052,31840
579,284277,31854
580,284453,31856
581,284777,31881
582,285092,31901
583,285302,31906
584,285941,32087
585,286147,32097
586,286425,32114
587,286636,32122
588,286850,32128
589,287335,32159
590,287854,32215
591,288485,32259
592,288749,32267
593,290071,32458
594,290528,32515
595,290741,32540
596,291212,32766
597,291380,32780
598,291631,32836
599,292138,32879
600,292359,32886
601,292784,32914
602,293057,32948
603,293535,32984
604,293875,33017
605,294270,33180
606,294429,33185
607,294861,33233
608,294973,33237
609,295216,33250
610,295618,33265
611,296228,33457
612,296835,33488
613,297134,33518
614,297447,33622
615,297690,33641
616,298004,33651
617,298223,33669
618,299705,33893
619,300642,33964
620,300882,33979
621,301310,34246
622,301534,34266
623,301780,34290
624,301886,34293
625,302027,34302
626,302553,34343
627,302715,34348
628,303465,34379
629,303627,34385
630,303894,34398
631,304066,34406
632,304355,34425
633,304661,34436
634,305071,34467
635,305217,34471
636,305967,34592
637,306102,34593
638,306339,34611
639,306587,34626
640,306913,34715
641,307065,34718
642,307707,34772
643,307908,34790
644,308011,34793
645,308585,34819
646,309092,34845
647,309265,34848
648,309581,34869
649,310938,34927
650,311502,34962
651,311839,34977
652,312885,35038
653,313149,35055
654,313415,35101
655,313866,35133
656,315855,35243
657,316043,35250
658,316174,35252
659,316384,35305
660,316569,35311
661,316860,35321
662,317291,35342
663,317541,35429
664,317809,35456
665,318079,35468
666,318287,35487
667,318486,35496
668,319417,35540
669,319717,35560
670,320183,35583
671,320764,35651
672,321212,35672
673,322272,35745
674,322499,35772
675,323621,35872
676,324641,35928
677,324840,35970
678,325031,35976
679,325461,35998
680,326052,36040
681,326346,36067
682,326806,36117
683,327075,36123
684,327309,36136
685,327766,36177
686,327957,36180
687,328298,36198
688,328421,36199
689,328559,36207
690,328714,36225
691,328929,36232
692,329306,36252
693,329595,36267
694,333191,36475
695,333756,36518
696,334079,36527
697,334325,36539
698,334614,36554
699,334766,36568
700,335217,36607
701,335460,36616
702,335756,36638
703,336164,36652
704,336900,36680
705,337105,36684
706,337322,36696
707,337772,36756
708,338647,36846
709,344571,37215
710,344930,37236
711,345056,37239
712,345692,37272
713,345913,37284
714,346161,37306
715,346704,37347
716,347144,37365
717,347776,37418
718,348146,37435
719,348309,37441
720,348445,37444
721,348860,37464
722,349097,37472
723,349279,37477
724,349468,37481
725,349743,37497
726,349984,37520
727,350530,37599
728,351164,37624
