word,documents
their,"2006_Purdue_Boilermakers_football_team_41f1.html, 2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html"
board,2006_Purdue_Boilermakers_football_team_41f1.html
prater,2006_Purdue_Boilermakers_football_team_41f1.html
base,2006_Purdue_Boilermakers_football_team_41f1.html
nc,2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html
won,"2006_Purdue_Boilermakers_football_team_41f1.html, 2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html"
northwestern,2006_Purdue_Boilermakers_football_team_41f1.html
tie,2006_Purdue_Boilermakers_football_team_41f1.html
quarter,2006_Purdue_Boilermakers_football_team_41f1.html
receivers,2006_Purdue_Boilermakers_football_team_41f1.html
fell,2006_Purdue_Boilermakers_football_team_41f1.html
issue,2006_Purdue_Boilermakers_football_team_41f1.html
michigan,"2006_Purdue_Boilermakers_football_team_41f1.html, 2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html"
next,2006_Purdue_Boilermakers_football_team_41f1.html
miscue,2006_Purdue_Boilermakers_football_team_41f1.html
later,2006_Purdue_Boilermakers_football_team_41f1.html
began,2006_Purdue_Boilermakers_football_team_41f1.html
era,2006_Purdue_Boilermakers_football_team_41f1.html
changes,"2006_Purdue_Boilermakers_football_team_41f1.html, 2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html"
left,2006_Purdue_Boilermakers_football_team_41f1.html
greenne,2006_Purdue_Boilermakers_football_team_41f1.html
spencer,2006_Purdue_Boilermakers_football_team_41f1.html
community,"2006_Purdue_Boilermakers_football_team_41f1.html, 2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html"
isiah,2006_Purdue_Boilermakers_football_team_41f1.html
found,2006_Purdue_Boilermakers_football_team_41f1.html
murphy,2006_Purdue_Boilermakers_football_team_41f1.html
gophers,2006_Purdue_Boilermakers_football_team_41f1.html
rose,2006_Purdue_Boilermakers_football_team_41f1.html
returned,2006_Purdue_Boilermakers_football_team_41f1.html
jeff,2006_Purdue_Boilermakers_football_team_41f1.html
panfil,2006_Purdue_Boilermakers_football_team_41f1.html
sample,2006_Purdue_Boilermakers_football_team_41f1.html
features,2006_Purdue_Boilermakers_football_team_41f1.html
basketball,2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html
failed,2006_Purdue_Boilermakers_football_team_41f1.html
cooper,2006_Purdue_Boilermakers_football_team_41f1.html
semifinals,2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html
staats,2006_Purdue_Boilermakers_football_team_41f1.html
season,"2006_Purdue_Boilermakers_football_team_41f1.html, 2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html"
eric,2006_Purdue_Boilermakers_football_team_41f1.html
result,"2006_Purdue_Boilermakers_football_team_41f1.html, 2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html"
frank,2006_Purdue_Boilermakers_football_team_41f1.html
center,2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html
carrier,2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html
he,2006_Purdue_Boilermakers_football_team_41f1.html
record,"2006_Purdue_Boilermakers_football_team_41f1.html, 2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html"
paid,2006_Purdue_Boilermakers_football_team_41f1.html
turnovers,2006_Purdue_Boilermakers_football_team_41f1.html
field,2006_Purdue_Boilermakers_football_team_41f1.html
opened,2006_Purdue_Boilermakers_football_team_41f1.html
between,2006_Purdue_Boilermakers_football_team_41f1.html
lafayette,2006_Purdue_Boilermakers_football_team_41f1.html
cbb,2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html
advantage,2006_Purdue_Boilermakers_football_team_41f1.html
casey,2006_Purdue_Boilermakers_football_team_41f1.html
finishing,2006_Purdue_Boilermakers_football_team_41f1.html
final,2006_Purdue_Boilermakers_football_team_41f1.html
wide,2006_Purdue_Boilermakers_football_team_41f1.html
ryne,2006_Purdue_Boilermakers_football_team_41f1.html
push,2006_Purdue_Boilermakers_football_team_41f1.html
turf,2006_Purdue_Boilermakers_football_team_41f1.html
athletics,2006_Purdue_Boilermakers_football_team_41f1.html
its,2006_Purdue_Boilermakers_football_team_41f1.html
revision,"2006_Purdue_Boilermakers_football_team_41f1.html, 2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html"
big,"2006_Purdue_Boilermakers_football_team_41f1.html, 2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html"
portal,"2006_Purdue_Boilermakers_football_team_41f1.html, 2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html"
rashard,2006_Purdue_Boilermakers_football_team_41f1.html
minutes,2006_Purdue_Boilermakers_football_team_41f1.html
kyle,2006_Purdue_Boilermakers_football_team_41f1.html
caught,2006_Purdue_Boilermakers_football_team_41f1.html
points,2006_Purdue_Boilermakers_football_team_41f1.html
and,"2006_Purdue_Boilermakers_football_team_41f1.html, 2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html"
gb,2007-08_Georgetown_Hoyas_men's_basketball_team_a8f4.html
