doc_number,corpus_size,vocab_count
400,180858,23218
401,181107,23234
402,181230,23236
403,181390,23245
404,181596,23251
405,181707,23253
406,181971,23309
407,182162,23317
408,182318,23330
409,183222,23407
410,184420,23503
411,184914,23566
412,185029,23570
413,185410,23608
414,186140,23652
415,189023,23912
416,189586,23958
417,190498,24035
418,192348,24172
419,192574,24182
420,192849,24224
421,193264,24266
422,193511,24291
423,193670,24297
424,193849,24307
425,194383,24355
426,194544,24359
427,196970,24543
428,197632,24580
429,198648,24652
430,199292,24670
431,199819,24686
432,200172,24702
433,203062,24873
434,203386,24892
435,205871,25042
436,206206,25085
437,206338,25086
438,206512,25086
439,206783,25102
440,207046,25113
441,207277,25127
442,207747,25160
443,207872,25160
444,208097,25169
445,209042,25293
446,209456,25406
447,209891,25422
448,210107,25444
449,210510,25492
450,210843,25522
451,211010,25531
452,211156,25551
453,211634,25635
454,213162,25775
455,213345,25793
456,213478,25798
457,213922,25819
458,214108,25824
459,215003,25881
460,215423,25913
461,215690,25937
462,216447,25971
463,216638,26014
464,216877,26038
465,217293,26058
466,217958,26104
467,218406,26140
468,218809,26164
469,218961,26171
470,220112,26248
471,220489,26285
472,220700,26303
473,222014,26445
474,222258,26455
475,222388,26460
476,222589,26467
477,222762,26483
478,223125,26514
479,223710,26556
480,223901,26574
481,224659,26638
482,224990,26679
483,225471,26789
484,225708,26802
485,226103,26811
486,226423,26837
487,226968,26901
488,227913,26984
489,228775,27077
490,229043,27100
491,230727,27232
492,230945,27242
493,231081,27259
494,231221,27263
495,231400,27268
496,231538,27269
497,232328,27350
498,232731,27384
499,232951,27400
500,233131,27410
501,234691,27476
502,235233,27504
503,235385,27508
504,235512,27529
505,235706,27541
506,235946,27561
507,236338,27587
508,237144,27651
509,237278,27654
510,237480,27665
511,237725,27677
512,238014,27730
513,239655,27941
514,240529,28033
515,241211,28149
516,241336,28154
517,242374,28222
518,242713,28242
519,244161,28361
520,245110,28529
521,250411,28880
522,250552,28916
523,250676,28917
524,250872,28923
525,251282,28943
526,251824,28974
527,251980,28978
528,252449,29004
529,252850,29023
530,253016,29036
531,253446,29167
532,254158,29229
533,254602,29266
534,255209,29318
535,255805,29359
536,260038,29611
537,260525,29659
538,261113,29718
539,261359,29741
540,269175,30307
541,269442,30337
542,270023,30609
543,270378,30721
544,270785,30755
545,270969,30763
546,271140,30777
547,271366,30854
548,271756,30867
549,271877,30872
550,272236,30889
551,272750,30930
552,273067,30936
553,273205,30940
554,274119,31014
555,274399,31030
556,274591,31035
557,275039,31053
558,275210,31059
559,275676,31073
560,276098,31089
561,277052,31203
562,277232,31231
563,277461,31239
564,277595,31244
565,278033,31268
566,278356,31274
567,278496,31276
568,278625,31279
569,278801,31283
570,278988,31289
571,279159,31298
572,279349,31303
573,279687,31412
574,279843,31418
575,280464,31450
576,280689,31460
577,280800,31469
578,282975,31718
579,283110,31721
580,283261,31724
581,283408,31728
582,283862,31758
583,284517,31802
584,284711,31806
585,284881,31809
586,285511,31901
587,285954,31967
588,286275,32013
589,286458,32038
590,286664,32046
591,286844,32055
592,287358,32080
593,287505,32088
594,287740,32096
595,295341,32535
596,296488,32655
597,297076,32718
598,297827,32760
599,298025,32767
600,298182,32777
601,298476,32806
602,298772,32815
603,299216,32861
604,300347,32904
605,300550,32912
606,301182,32966
607,301487,32988
608,302056,33024
609,303188,33107
610,303343,33110
611,303713,33137
612,306021,33401
613,306303,33416
614,306597,33432
615,306771,33438
616,306898,33440
617,307100,33445
618,307552,33473
619,307864,33490
620,308238,33519
621,308365,33523
622,308644,33534
623,308878,33541
624,309169,33556
625,309630,33589
626,309830,33599
627,310474,33655
628,310600,33656
629,310823,33658
630,311234,33665
631,311788,33690
632,311972,33695
633,312312,33701
634,312836,33737
635,313172,33768
636,313290,33770
637,313645,33798
638,313892,33811
639,314107,33823
640,314499,33887
641,314634,33889
642,315074,33928
643,315428,33945
644,315568,33949
645,315865,33963
646,316037,33971
647,316390,33990
648,316572,33994
649,316868,34013
650,316995,34015
651,317137,34018
652,317757,34051
653,318566,34106
654,318731,34110
655,319109,34141
656,319306,34148
657,325106,34419
658,325320,34438
659,325680,34462
660,325893,34471
661,326223,34500
662,326400,34534
663,327328,34611
664,330272,34754
665,330495,34761
666,330799,34773
667,331016,34783
668,331402,34798
669,332091,34843
670,332586,34904
671,333546,34953
672,333780,34964
673,334022,34980
674,334719,35009
675,335796,35079
676,335987,35085
677,336978,35151
678,337383,35164
679,337744,35172
680,338256,35192
681,339981,35288
682,340297,35313
683,344501,35535
684,344804,35549
685,345186,35573
686,345400,35577
687,345636,35587
688,346114,35631
689,346412,35648
690,346589,35650
691,346827,35657
692,347567,35685
693,348216,35715
694,348469,35754
695,348629,35757
696,349666,35825
697,349909,35867
698,350603,35909
699,351238,35950
700,352302,36024
701,352585,36036
702,353023,36075
703,353392,36104
704,353688,36118
705,353942,36139
706,354781,36185
707,355853,36266
708,356330,36296
709,356509,36306
710,357296,36360
711,357423,36363
712,357589,36365
713,358031,36381
714,358344,36397
715,358479,36400
716,358609,36403
717,358974,36411
718,359207,36415
719,359486,36426
720,360984,36476
721,361205,36486
722,361642,36510
723,363191,36607
724,363535,36629
725,363772,36634
726,364611,36673
727,364817,36675
728,370301,36895
729,371725,36994
730,371983,37005
731,373967,37105
